Date,Time,"Nitrogen dioxide",Status
2024-01-06,08:00:00,42.64351,V ugm-3
2024-01-06,09:00:00,52.95266,V ugm-3
2024-01-06,10:00:00,51.35822,V ugm-3
2024-01-06,11:00:00,59.36073,V ugm-3
2024-01-06,12:00:00,62.66629,V ugm-3
2024-01-06,13:00:00,71.64534,V ugm-3
2024-01-06,14:00:00,78.30788,V ugm-3
2024-01-06,15:00:00,72.42053,V ugm-3
2024-01-06,16:00:00,79.54964,V ugm-3
2024-01-06,17:00:00,86.05744,V ugm-3
2024-01-06,18:00:00,78.22413,V ugm-3
2024-01-06,19:00:00,83.08395,V ugm-3
2024-01-06,20:00:00,73.89934,V ugm-3
2024-01-06,21:00:00,74.86193,V ugm-3
2024-01-06,22:00:00,73.42058,V ugm-3
2024-01-06,23:00:00,67.73653,V ugm-3
2024-01-06,24:00:00,58.91203,V ugm-3
2024-01-07,01:00:00,48.74585,V ugm-3
2024-01-07,02:00:00,45.76921,V ugm-3
2024-01-07,03:00:00,45.47269,V ugm-3
2024-01-07,04:00:00,42.12093,V ugm-3
2024-01-07,05:00:00,32.70629,V ugm-3
2024-01-07,06:00:00,22.34241,V ugm-3
2024-01-07,07:00:00,22.4977,V ugm-3
2024-01-07,08:00:00,32.76064,V ugm-3
2024-01-07,09:00:00,35.19404,V ugm-3
2024-01-07,10:00:00,35.65649,V ugm-3
2024-01-07,11:00:00,39.53121,V ugm-3
2024-01-07,12:00:00,42.22262,V ugm-3
2024-01-07,13:00:00,44.96557,V ugm-3
2024-01-07,14:00:00,48.01652,V ugm-3
2024-01-07,15:00:00,49.51812,V ugm-3
2024-01-07,16:00:00,48.84124,V ugm-3
2024-01-07,17:00:00,42.00381,V ugm-3
2024-01-07,18:00:00,35.21961,V ugm-3
2024-01-07,19:00:00,46.7535,V ugm-3
2024-01-07,20:00:00,48.83442,V ugm-3
2024-01-07,21:00:00,44.27197,V ugm-3
2024-01-07,22:00:00,41.32408,V ugm-3
2024-01-07,23:00:00,41.20661,V ugm-3
2024-01-07,24:00:00,40.72706,V ugm-3
2024-01-08,01:00:00,41.22266,V ugm-3
2024-01-08,02:00:00,48.97907,V ugm-3
2024-01-08,03:00:00,46.84224,V ugm-3
2024-01-08,04:00:00,46.37206,V ugm-3
2024-01-08,05:00:00,40.77875,V ugm-3
2024-01-08,06:00:00,37.52708,V ugm-3
2024-01-08,07:00:00,38.51081,V ugm-3
2024-01-08,08:00:00,46.49774,V ugm-3
2024-01-08,09:00:00,52.64603,V ugm-3
2024-01-08,10:00:00,60.91517,V ugm-3
2024-01-08,11:00:00,57.34828,V ugm-3
2024-01-08,12:00:00,55.18861,V ugm-3
2024-01-08,13:00:00,46.7327,V ugm-3
2024-01-08,14:00:00,37.30013,V ugm-3
2024-01-08,15:00:00,32.26945,V ugm-3
2024-01-08,16:00:00,35.02125,V ugm-3
2024-01-08,17:00:00,41.19614,V ugm-3
2024-01-08,18:00:00,42.38975,V ugm-3
2024-01-08,19:00:00,35.17505,V ugm-3
2024-01-08,20:00:00,34.81459,V ugm-3
2024-01-08,21:00:00,18.41931,V ugm-3
2024-01-08,22:00:00,11.9857,V ugm-3
2024-01-08,23:00:00,10.37719,V ugm-3
2024-01-08,24:00:00,7.93843,V ugm-3
2024-01-09,01:00:00,7.47864,V ugm-3
2024-01-09,02:00:00,6.78621,V ugm-3
2024-01-09,03:00:00,6.54382,V ugm-3
2024-01-09,04:00:00,6.59583,V ugm-3
2024-01-09,05:00:00,7.84221,V ugm-3
2024-01-09,06:00:00,12.46445,V ugm-3
2024-01-09,07:00:00,19.16404,V ugm-3
2024-01-09,08:00:00,30.9008,V ugm-3
2024-01-09,09:00:00,46.01164,V ugm-3
2024-01-09,10:00:00,51.10163,V ugm-3
2024-01-09,11:00:00,39.98772,V ugm-3
2024-01-09,12:00:00,23.26583,V ugm-3
2024-01-09,13:00:00,15.47581,V ugm-3
2024-01-09,14:00:00,No data,V ugm-3
2024-01-09,15:00:00,15.99486,V ugm-3
2024-01-09,16:00:00,24.14925,V ugm-3
