Place Code,Intermediate Zone,Local Authority,Local Authority (code),Population ,Working Age population,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks and public gardens in 1,000 m radius","Median number of parks and public gardens in 1,000 m radius","Average combined size of parks and public gardens in 1,000 m radius (m2)","Median combined size of parks and public gardens in 1,000 m radius (m2)",Average population per park or public garden,Median population per park or public garden,Number of flats in rural and built up areas,Number of flats in rural and built up areas with gardens,Average garden size for flats in built up area,Number of houses in rural and built up area,Number of houses in rural and built up area with gardens,Average garden size for houses in rural and built up area ,SIMD2020 Rank,SIMD2020 Quintile,SIMD2020 Health Domain Rank,Alcohol Hospital visits ratio,Drug hospital visits ratio,Depression (%),Crime Rate,Overcrowded rate,Drive to secondary,Urban or Rural
S01006506,Culter,Aberdeen City,S12000033,850,580,427.50,335.17,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,304,188.94,545.56,180,162,638.52,4691,4,5174,28.73,30.37,13.15%,124.60,10.21%,9.93,URBAN
S01006507,Culter,Aberdeen City,S12000033,791,470,666.52,656.02,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,73,45.37,545.56,295,280,308.00,4862,4,5051,129.92,126.43,14.25%,127.70,10.17%,11.04,URBAN
S01006508,Culter,Aberdeen City,S12000033,604,461,203.99,175.02,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,255,158.48,545.56,101,99,381.28,5686,5,5942,71.02,18.27,12.81%,129.83,4.82%,10.62,URBAN
S01006509,Culter,Aberdeen City,S12000033,525,307,453.95,485.87,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,91,56.56,545.56,192,182,239.97,4332,4,3871,80.47,28.49,16.40%,75.43,7.24%,10.04,URBAN
S01006510,Culter,Aberdeen City,S12000033,660,415,610.13,594.37,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,139,86.39,545.56,176,176,352.36,3913,3,3049,89.11,44.29,22.06%,168.01,8.67%,9.65,URBAN
S01006511,Culter,Aberdeen City,S12000033,746,453,982.41,983.85,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,12,7.46,545.56,307,305,568.27,6253,5,5783,54.70,0.00,12.24%,*,3.60%,8.61,URBAN
S01006512,Culter,Aberdeen City,S12000033,519,345,2022.63,1620.90,1902.24,1357.42,1.00,1,1901.81,1357,11053.54,13450.42,19,11.81,545.56,161,158,1212.51,5692,5,6586,28.66,0.00,10.70%,131.51,5.44%,12.22,URBAN
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,818,406,2601.53,2623.65,12866.19,1357.42,1.00,1,12865.71,1357,14644.21,13450.42,89,35.16,1524.23,302,286,377.86,6177,5,5516,27.66,0.00,20.96%,*,2.64%,6.26,URBAN
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,1153,709,1899.02,2011.33,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,15,5.93,1524.23,369,351,890.80,6715,5,6733,17.97,0.00,11.55%,81.16,1.06%,7.04,URBAN
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,817,529,2513.52,2689.38,3967.03,1357.42,1.00,1,3966.59,1357,11981.43,13450.42,7,2.77,1524.23,279,269,754.71,6363,5,6846,23.38,0.00,10.18%,*,3.81%,6.88,URBAN
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,664,419,2333.98,2430.16,20753.67,25813.56,1.00,1,20753.14,25813,15462.36,15987.22,21,8.30,1524.23,210,183,1403.43,5947,5,6852,18.88,0.00,8.36%,128.80,2.57%,5.95,URBAN
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,1147,646,1435.77,1418.73,146836.35,25813.56,1.00,1,146835.88,25813,14543.41,15987.22,30,11.85,1524.23,610,543,672.10,5772,5,6159,31.06,16.34,13.10%,77.01,3.85%,2.99,URBAN
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,673,370,1171.51,1133.80,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,12,7.49,684.04,246,246,938.51,6674,5,6919,10.58,57.23,9.19%,*,0.32%,3.73,URBAN
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,935,560,1012.88,1002.19,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,0,0.00,0.00,285,282,511.97,6229,5,6776,4.11,37.18,9.08%,75.33,1.49%,2.55,URBAN
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,834,559,1591.22,1600.72,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,1,0.62,684.04,227,226,468.80,6490,5,6940,24.62,37.33,6.87%,*,1.65%,3.60,URBAN
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,784,512,1062.36,1019.91,45606.70,25813.56,1.00,1,45606.19,25813,16579.72,15987.22,37,23.10,684.04,236,232,1049.51,6519,5,6952,4.64,0.00,7.19%,63.85,1.36%,3.99,URBAN
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,684,412,865.12,853.53,50622.42,25813.56,1.00,1,50621.88,25813,16226.94,15987.22,8,4.99,684.04,234,229,524.00,6769,5,6930,11.92,0.00,7.20%,45.01,1.22%,3.51,URBAN
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,956,571,510.30,493.93,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,198,123.61,684.04,253,241,453.39,6504,5,6423,51.03,0.00,9.88%,105.82,1.91%,2.74,URBAN
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,1071,629,340.66,229.22,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,230,143.59,684.04,200,186,962.15,4175,3,4161,76.47,32.11,14.59%,28.77,2.95%,2.19,URBAN
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,S12000033,889,497,602.40,647.81,25813.56,25813.56,1.00,1,25813.00,25813,15987.22,15987.22,41,25.60,684.04,304,296,538.02,6143,5,5894,56.70,38.13,13.42%,67.21,3.26%,2.07,URBAN
S01006526,Garthdee,Aberdeen City,S12000033,920,670,1547.14,1544.56,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,229,174.43,329.17,220,205,172.14,2538,2,2897,118.78,68.39,17.21%,65.76,17.74%,5.99,URBAN
S01006527,Garthdee,Aberdeen City,S12000033,763,508,1728.52,1724.53,184766.88,10429.19,1.00,1,184766.66,10429,19058.90,19550.11,43,32.75,329.17,311,297,218.88,2030,2,2072,160.98,258.15,19.05%,254.50,11.42%,6.01,URBAN
S01006528,Garthdee,Aberdeen City,S12000033,1178,829,1562.89,1561.82,1363320.33,2522941.31,1.00,1,1363320.08,2522941,17633.40,15990.50,186,141.68,329.17,324,323,210.73,3834,3,3285,125.75,46.44,14.80%,175.50,16.21%,6.70,URBAN
S01006529,Garthdee,Aberdeen City,S12000033,968,680,1139.90,1094.89,458988.06,183794.29,1.00,1,458987.76,183794,22095.16,22909.11,430,327.53,329.17,105,101,328.99,3770,3,4117,97.54,12.82,14.57%,412.88,17.60%,6.12,URBAN
S01006530,Garthdee,Aberdeen City,S12000033,785,548,1355.64,1332.24,1587282.50,2522941.31,1.00,1,1587282.20,2522941,18757.95,15990.50,204,155.39,329.17,168,167,210.94,2218,2,2679,117.00,115.33,19.65%,270.90,14.71%,7.12,URBAN
S01006531,Garthdee,Aberdeen City,S12000033,924,655,1539.12,1541.79,1215119.02,183794.29,1.00,1,1215118.76,183794,18015.01,19550.11,297,226.22,329.17,138,138,189.39,1611,2,1933,187.13,165.22,17.87%,299.73,19.90%,6.93,URBAN
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,S12000033,780,445,1096.55,1095.87,173287.31,183794.29,1.00,1,173287.03,183794,22705.54,22909.11,104,89.25,280.43,247,246,268.65,5977,5,5684,19.89,0.00,16.13%,204.32,2.99%,5.40,URBAN
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,S12000033,718,475,1028.19,1033.06,28678.15,10429.19,1.00,1,28677.95,10429,19903.69,19550.11,96,82.38,280.43,247,244,294.03,6786,5,6790,24.73,0.00,11.89%,155.36,0.43%,4.74,URBAN
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,S12000033,981,625,951.13,970.06,183794.29,183794.29,1.00,1,183794.00,183794,22909.11,22909.11,199,170.77,280.43,250,248,292.74,6831,5,6760,37.66,14.20,11.23%,201.26,2.42%,4.32,URBAN
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,S12000033,985,812,681.62,676.06,183794.29,183794.29,1.00,1,183794.00,183794,22909.11,22909.11,473,405.90,280.43,129,129,263.56,6734,5,6633,36.25,49.98,10.62%,145.22,10.50%,5.04,URBAN
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,S12000033,978,827,794.98,808.07,183794.29,183794.29,1.09,1,184867.40,183794,22909.11,22909.11,559,479.70,280.43,89,80,252.15,5634,5,5967,81.14,28.40,12.77%,363.46,16.19%,4.42,URBAN
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,S12000033,926,497,985.27,976.87,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,29,21.47,327.66,358,355,296.71,6664,5,5227,118.85,265.03,18.46%,*,2.92%,2.77,URBAN
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,S12000033,543,335,1245.94,1258.45,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,1,0.74,327.66,247,246,316.24,6457,5,6474,51.37,0.00,13.05%,*,2.46%,4.08,URBAN
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,S12000033,767,462,1262.76,1263.86,38167.61,10429.19,1.00,1,38167.40,10429,20087.55,19550.11,67,49.61,327.66,277,275,241.89,6727,5,6374,0.00,0.00,15.39%,64.83,2.66%,5.23,URBAN
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,S12000033,908,633,999.88,899.08,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,135,99.97,327.66,324,322,309.58,6478,5,6597,23.34,0.00,12.53%,86.83,5.94%,4.99,URBAN
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,S12000033,846,468,623.17,624.76,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,84,62.20,327.66,324,317,271.74,6548,5,5596,14.23,0.00,14.52%,35.16,2.50%,3.53,URBAN
S01006542,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,S12000033,1165,664,481.78,497.97,197850.14,10429.19,1.62,2,271768.45,433184,19674.05,19550.11,186,113.76,434.92,374,371,359.75,6751,5,6667,23.21,14.76,10.97%,71.63,2.70%,4.98,URBAN
S01006543,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,S12000033,790,453,795.39,815.95,47913.38,10429.19,1.27,1,125725.82,10429,19574.90,19550.11,0,0.00,0.00,371,368,292.83,6756,5,5682,66.10,21.67,16.22%,*,1.13%,3.73,URBAN
S01006544,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,S12000033,1273,862,346.07,325.30,10429.19,10429.19,1.28,1,130076.64,10429,19550.11,19550.11,324,198.17,434.92,282,273,388.61,6937,5,6511,20.90,19.92,13.19%,23.68,10.59%,3.43,URBAN
S01006545,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,S12000033,1108,731,559.76,614.06,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,312,190.83,434.92,307,304,323.11,6594,5,6012,42.29,75.50,13.44%,171.79,5.73%,3.94,URBAN
S01006546,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,S12000033,608,387,165.69,189.19,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,20,12.23,434.92,253,253,320.24,6951,5,6305,22.41,48.20,12.08%,*,0.80%,4.20,URBAN
S01006547,Hazlehead,Aberdeen City,S12000033,1429,752,784.39,757.95,350804.29,422755.29,1.02,1,351025.85,422755,19167.01,19822.77,310,151.15,323.09,633,527,440.11,3784,3,4381,139.22,123.87,13.96%,317.98,7.06%,4.79,URBAN
S01006548,Hazlehead,Aberdeen City,S12000033,646,361,379.17,407.32,400467.39,422755.29,2.00,2,433184.00,433184,19808.03,19822.77,0,0.00,0.00,317,316,242.06,6455,5,6698,5.22,0.00,13.43%,*,1.94%,5.68,URBAN
S01006549,Hazlehead,Aberdeen City,S12000033,809,503,698.46,678.71,137298.76,10429.19,1.49,1,218554.54,10429,19634.00,19550.11,73,35.59,323.09,319,319,413.14,6820,5,6466,38.50,0.00,12.76%,101.77,4.32%,3.81,URBAN
S01006550,Hazlehead,Aberdeen City,S12000033,897,508,414.78,436.66,247134.91,422755.29,2.00,2,433184.00,433184,19706.64,19822.77,5,2.44,323.09,396,393,352.53,6760,5,6378,18.82,0.00,16.58%,90.01,2.53%,5.09,URBAN
S01006551,Hazlehead,Aberdeen City,S12000033,682,431,150.03,139.13,422755.29,422755.29,1.07,1,423450.27,422755,19822.77,19822.77,223,108.73,323.09,184,174,141.07,1474,2,2047,307.32,63.04,20.71%,690.45,14.49%,3.03,URBAN
S01006552,Hazlehead,Aberdeen City,S12000033,907,585,416.86,408.86,422755.29,422755.29,1.00,1,422755.00,422755,19822.77,19822.77,113,55.10,323.09,318,316,268.84,6084,5,6688,61.60,15.14,11.55%,103.10,1.95%,3.40,URBAN
S01006553,Summerhill,Aberdeen City,S12000033,888,508,929.48,932.30,380465.43,422755.29,1.08,1,381267.38,422755,19794.81,19822.77,76,68.09,421.80,336,332,310.19,5280,4,4149,20.49,19.95,17.56%,123.36,7.14%,5.61,URBAN
S01006554,Summerhill,Aberdeen City,S12000033,774,491,1258.96,1242.30,323797.03,422755.29,1.00,1,323796.76,422755,19757.33,19822.77,188,168.43,421.80,188,183,284.98,3924,3,4396,25.71,34.55,17.20%,521.31,13.58%,4.84,URBAN
S01006555,Summerhill,Aberdeen City,S12000033,722,537,846.67,873.96,422755.29,422755.29,1.00,1,422755.00,422755,19822.77,19822.77,281,251.75,421.80,113,110,132.22,1608,2,1362,246.51,487.94,18.05%,733.21,19.40%,4.55,URBAN
S01006556,Summerhill,Aberdeen City,S12000033,794,497,912.41,927.55,422755.29,422755.29,1.00,1,422755.00,422755,19822.77,19822.77,189,169.33,421.80,230,230,164.05,2292,2,2261,75.46,165.79,22.02%,239.31,16.11%,5.35,URBAN
S01006557,Summerhill,Aberdeen City,S12000033,676,425,948.99,958.72,422755.29,422755.29,1.00,1,422755.00,422755,19822.77,19822.77,169,151.41,421.80,185,185,101.17,1446,2,1076,206.73,145.09,24.48%,223.71,13.98%,4.88,URBAN
S01006558,Midstocket,Aberdeen City,S12000033,563,427,112.14,112.16,58907.46,54963.49,2.24,2,145222.30,142464,19304.26,20902.39,297,264.97,270.53,87,86,202.15,6797,5,6490,25.17,0.00,13.72%,152.92,9.32%,3.71,URBAN
S01006559,Midstocket,Aberdeen City,S12000033,606,404,350.74,382.38,54963.49,54963.49,2.00,2,142464.00,142464,20902.39,20902.39,169,150.78,270.53,113,111,292.50,6972,5,6845,5.96,0.00,10.90%,134.80,6.26%,2.74,URBAN
S01006560,Midstocket,Aberdeen City,S12000033,997,641,532.29,510.97,56013.09,54963.49,1.97,2,139641.39,142464,20477.08,20902.39,280,249.81,270.53,224,221,226.47,6953,5,6048,47.85,14.47,13.06%,79.58,3.76%,3.08,URBAN
S01006561,Midstocket,Aberdeen City,S12000033,742,443,588.22,598.63,59030.70,54963.49,2.00,2,142464.00,142464,19254.32,20902.39,119,106.17,270.53,211,209,232.29,6975,5,6714,87.94,0.00,12.22%,166.92,2.87%,3.69,URBAN
S01006562,Midstocket,Aberdeen City,S12000033,985,612,1165.85,1164.37,58644.49,54963.49,1.10,1,66580.75,54963,17471.02,20902.39,154,137.39,270.53,299,290,278.82,4724,4,4127,77.66,16.13,13.31%,145.86,7.97%,4.08,URBAN
S01006563,Midstocket,Aberdeen City,S12000033,657,395,971.59,1322.20,84431.63,87501.23,1.39,1,107006.80,87501,8961.64,7717.81,168,149.88,270.53,201,200,240.29,5035,4,4954,11.24,0.00,12.68%,1406.05,11.41%,3.97,URBAN
S01006564,Rosemount,Aberdeen City,S12000033,987,791,448.71,469.68,23695.53,11377.85,3.76,4,159642.11,161465,21809.18,22166.40,585,480.91,192.20,18,18,242.80,3336,3,3595,70.56,64.82,16.60%,301.68,21.63%,1.67,URBAN
S01006565,Rosemount,Aberdeen City,S12000033,964,888,414.74,412.46,12440.91,11377.85,4.00,4,161465.00,161465,22135.57,22166.40,669,549.97,192.20,14,11,76.76,3653,3,4499,93.01,61.29,12.20%,222.78,32.59%,2.38,URBAN
S01006566,Rosemount,Aberdeen City,S12000033,763,618,171.42,190.63,54963.49,54963.49,2.95,3,153861.07,153842,20902.39,20902.39,398,327.18,192.20,85,83,152.13,5826,5,5938,25.86,68.24,12.32%,266.14,12.83%,2.18,URBAN
S01006567,Rosemount,Aberdeen City,S12000033,752,607,430.86,439.28,54963.49,54963.49,3.60,4,158379.50,161465,20902.39,20902.39,562,462.00,192.20,17,13,222.23,2656,2,3028,143.98,123.13,16.56%,367.50,26.71%,1.54,URBAN
S01006568,Rosemount,Aberdeen City,S12000033,927,823,349.80,356.22,54963.49,54963.49,3.00,3,153842.00,153842,20902.39,20902.39,643,528.59,192.20,20,17,302.69,5931,5,6234,57.04,29.16,10.78%,263.88,20.04%,1.32,URBAN
S01006569,Rosemount,Aberdeen City,S12000033,561,444,230.31,248.13,54963.49,54963.49,2.77,3,151216.31,153842,20902.39,20902.39,276,226.89,192.20,67,65,221.25,5320,4,4850,92.03,19.65,11.83%,162.46,16.43%,2.33,URBAN
S01006570,Rosemount,Aberdeen City,S12000033,726,537,374.53,434.31,54963.49,54963.49,2.22,2,144924.11,142464,20902.39,20902.39,256,210.45,192.20,139,139,252.09,6963,5,6906,0.00,0.00,9.68%,123.33,7.28%,2.05,URBAN
S01006571,West End North,Aberdeen City,S12000033,878,635,748.67,739.28,40722.63,54963.49,1.66,2,83705.47,66341,21315.38,20902.39,297,246.10,338.94,187,184,187.62,6414,5,6727,65.69,0.00,8.74%,589.14,6.32%,2.09,URBAN
S01006572,West End North,Aberdeen City,S12000033,961,622,1052.65,1049.24,21117.42,10429.19,1.00,1,21117.16,10429,19874.66,19550.11,103,85.35,338.94,298,296,538.80,6930,5,6924,56.21,0.00,9.99%,158.72,3.00%,3.07,URBAN
S01006573,West End North,Aberdeen City,S12000033,760,535,740.94,724.97,54963.49,54963.49,1.92,2,135172.25,142464,20902.39,20902.39,136,112.69,338.94,176,176,236.30,6974,5,6893,120.44,18.88,8.17%,64.09,1.80%,2.55,URBAN
S01006574,West End North,Aberdeen City,S12000033,1048,661,888.70,921.18,30672.05,10429.19,1.13,1,41808.22,10429,20164.78,19550.11,275,227.87,338.94,205,201,458.54,6865,5,6841,43.86,14.35,8.91%,308.68,3.28%,2.23,URBAN
S01006575,West End South,Aberdeen City,S12000033,981,697,1145.38,1143.75,53770.47,10429.19,1.00,1,53770.25,10429,20389.86,19550.11,206,179.22,216.52,219,216,222.61,6960,5,6933,43.66,12.49,7.93%,134.19,4.07%,2.99,URBAN
S01006576,West End South,Aberdeen City,S12000033,722,527,1105.89,1090.26,183794.29,183794.29,1.00,1,183794.00,183794,22909.11,22909.11,172,149.64,216.52,177,175,226.76,6515,5,6599,53.44,0.00,10.29%,416.16,6.30%,3.41,URBAN
S01006577,West End South,Aberdeen City,S12000033,809,608,1145.76,1147.79,32094.52,10429.19,1.00,1,32094.19,10429,20207.97,19550.11,414,360.18,216.52,79,77,242.80,6717,5,6258,58.32,13.15,11.60%,149.29,13.13%,2.15,URBAN
S01006578,West End South,Aberdeen City,S12000033,1094,950,1097.21,1113.76,106802.32,183794.29,1.00,1,106801.82,183794,22357.49,22909.11,708,615.96,216.52,49,47,70.71,5471,4,5273,150.47,105.32,11.47%,192.45,21.32%,2.89,URBAN
S01006579,West End South,Aberdeen City,S12000033,1020,922,948.30,961.67,71956.60,11377.85,1.00,1,71955.95,11377,22427.35,22166.40,697,606.39,216.52,6,6,370.71,6411,5,6631,79.55,32.47,8.00%,183.59,17.74%,3.19,URBAN
S01006580,West End South,Aberdeen City,S12000033,718,585,1072.05,1061.87,52057.78,54963.49,1.00,1,52057.27,54963,20986.66,20902.39,417,362.79,216.52,47,47,175.92,6296,5,6181,93.65,0.00,9.85%,167.84,15.03%,2.28,URBAN
S01006581,West End South,Aberdeen City,S12000033,935,648,838.55,858.74,10429.19,10429.19,1.00,1,10429.00,10429,19550.11,19550.11,163,141.81,216.52,255,255,363.69,6967,5,6786,37.03,14.97,9.31%,42.68,2.70%,3.03,URBAN
S01006582,City Centre West,Aberdeen City,S12000033,817,705,442.36,453.05,11377.85,11377.85,1.95,2,32199.82,19000,22166.40,22166.40,475,249.09,182.31,35,34,148.12,3921,3,6144,169.56,151.74,9.00%,3754.23,18.32%,3.79,URBAN
S01006583,City Centre West,Aberdeen City,S12000033,681,616,778.72,791.58,11377.85,11377.85,1.67,2,133907.00,195172,22166.40,22166.40,449,235.45,182.31,1,0,0.00,5250,4,6666,50.54,27.12,7.98%,233.13,14.61%,3.89,URBAN
S01006584,City Centre West,Aberdeen City,S12000033,615,534,574.47,567.74,21283.67,11377.85,3.07,3,132576.84,153842,21879.13,22166.40,397,208.18,182.31,27,24,297.03,6357,5,6670,56.03,0.00,10.15%,231.65,20.70%,1.81,URBAN
S01006585,City Centre West,Aberdeen City,S12000033,801,651,435.47,423.54,11377.85,11377.85,2.62,3,65255.21,73964,22166.40,22166.40,573,300.48,182.31,11,3,58.28,2375,2,2276,255.77,185.24,15.14%,999.25,23.40%,2.09,URBAN
S01006586,City Centre West,Aberdeen City,S12000033,1017,854,161.95,152.07,10848.30,11377.85,2.60,2,57808.48,19000,20131.68,22166.40,791,414.80,182.31,24,21,73.02,3228,3,3686,84.41,103.12,14.14%,3562.15,24.58%,2.40,URBAN
S01006587,City Centre East,Aberdeen City,S12000033,545,500,541.50,573.85,9201.81,11377.85,2.94,3,60181.01,20683,15322.07,22166.40,413,151.92,137.93,12,7,135.56,1562,2,1922,366.22,86.04,15.54%,3529.21,26.17%,4.34,URBAN
S01006588,City Centre East,Aberdeen City,S12000033,605,571,216.34,213.04,9807.57,11377.85,2.11,2,26343.02,19000,16132.86,22166.40,488,179.50,137.93,1,1,52.99,3265,3,5423,132.44,44.74,8.42%,4351.50,34.64%,3.21,URBAN
S01006589,City Centre East,Aberdeen City,S12000033,695,572,306.02,290.23,7622.84,7622.84,2.95,3,82768.32,86311,7738.36,7738.36,438,161.11,137.93,1,0,0.00,3415,3,5558,69.42,13.54,9.82%,1414.74,27.27%,4.68,URBAN
S01006590,City Centre East,Aberdeen City,S12000033,786,718,353.48,347.80,11377.85,11377.85,2.16,2,49007.18,19000,22166.40,22166.40,458,168.47,137.93,33,31,179.88,2720,2,3970,218.71,236.30,12.53%,707.97,27.01%,3.98,URBAN
S01006591,Ferryhill North,Aberdeen City,S12000033,707,622,608.41,605.80,11377.85,11377.85,4.10,5,202725.38,204580,22166.40,22166.40,386,292.72,199.65,24,24,150.79,4598,4,4311,244.85,175.22,12.45%,299.44,25.67%,4.67,URBAN
S01006592,Ferryhill North,Aberdeen City,S12000033,769,649,458.67,442.61,73688.62,284.85,3.73,4,191261.53,186977,11436.58,3788.23,359,272.25,199.65,70,70,164.79,6908,5,6936,42.13,11.53,6.93%,136.48,9.26%,6.00,URBAN
S01006593,Ferryhill North,Aberdeen City,S12000033,803,694,637.62,665.49,123258.37,183794.29,4.08,4,197254.54,196957,21238.31,22909.11,416,315.47,199.65,31,31,263.24,6609,5,6909,23.55,0.00,7.33%,145.18,12.67%,5.43,URBAN
S01006594,Ferryhill North,Aberdeen City,S12000033,497,369,497.77,504.90,183794.29,183794.29,1.11,1,183951.89,183794,22909.11,22909.11,315,238.88,199.65,59,58,229.56,6383,5,6559,80.66,0.00,10.99%,227.56,11.32%,4.92,URBAN
S01006595,Ferryhill North,Aberdeen City,S12000033,964,808,723.81,763.48,149311.00,183794.29,1.60,2,190620.80,195172,22760.57,22909.11,545,413.30,199.65,57,55,155.81,6116,5,5651,79.74,40.37,12.71%,74.15,12.01%,4.82,URBAN
S01006596,Ferryhill North,Aberdeen City,S12000033,779,568,628.07,659.82,130743.08,183794.29,3.51,4,194355.72,196957,22680.59,22909.11,289,219.16,199.65,92,90,191.44,6881,5,6475,72.70,0.00,10.74%,142.08,12.24%,5.35,URBAN
S01006597,Ferryhill North,Aberdeen City,S12000033,529,467,774.58,761.23,183794.29,183794.29,1.43,1,188740.96,183794,22909.11,22909.11,384,291.21,199.65,9,8,231.05,3712,3,4394,82.91,15.80,12.62%,611.41,20.27%,4.29,URBAN
S01006598,Ferryhill South,Aberdeen City,S12000033,1009,684,278.16,306.11,183794.29,183794.29,3.18,3,186853.51,185579,22909.11,22909.11,204,160.78,362.70,276,272,221.73,6810,5,6843,17.70,24.31,9.84%,169.27,3.97%,6.68,URBAN
S01006599,Ferryhill South,Aberdeen City,S12000033,796,621,812.19,843.72,183794.29,183794.29,1.00,1,183794.00,183794,22909.11,22909.11,486,383.04,362.70,36,36,264.98,2958,3,2894,119.92,282.14,18.08%,324.25,13.42%,6.79,URBAN
S01006600,Ferryhill South,Aberdeen City,S12000033,1225,862,481.78,486.57,183794.29,183794.29,1.05,1,183837.54,183794,22909.11,22909.11,407,320.77,362.70,216,209,212.55,6316,5,5122,44.02,151.54,15.10%,139.06,10.78%,5.97,URBAN
S01006601,Ferryhill South,Aberdeen City,S12000033,1006,801,379.87,416.60,183794.29,183794.29,1.05,1,183862.18,183794,22909.11,22909.11,388,305.80,362.70,215,214,186.56,5017,4,5046,68.72,104.70,13.97%,165.85,13.67%,5.53,URBAN
S01006602,Ferryhill South,Aberdeen City,S12000033,909,572,248.14,176.22,183794.29,183794.29,2.77,3,185373.04,185579,22909.11,22909.11,252,198.61,362.70,187,183,242.90,6840,5,6481,73.07,58.10,12.30%,*,2.94%,6.06,URBAN
S01006603,"Kincorth, Leggart and Nigg North",Aberdeen City,S12000033,813,502,338.16,302.69,2522941.31,2522941.31,1.04,1,2529389.91,2522941,15990.50,15990.50,207,170.64,431.16,203,199,171.91,1367,1,1475,133.70,107.57,23.92%,479.21,14.27%,7.21,URBAN
S01006604,"Kincorth, Leggart and Nigg North",Aberdeen City,S12000033,660,430,604.09,597.98,2522941.31,2522941.31,1.62,2,2636045.00,2706735,15990.50,15990.50,38,31.33,431.16,265,263,206.76,3121,3,2798,140.33,23.17,20.94%,170.58,12.74%,6.84,URBAN
S01006605,"Kincorth, Leggart and Nigg North",Aberdeen City,S12000033,776,480,308.33,291.34,2522941.31,2522941.31,1.49,1,2612212.37,2522941,15990.50,15990.50,308,253.91,431.16,125,122,173.69,1743,2,1381,425.36,123.02,23.78%,440.85,14.09%,6.71,URBAN
S01006606,"Kincorth, Leggart and Nigg North",Aberdeen City,S12000033,810,480,689.43,704.25,1520449.73,2522941.31,1.48,1,2610461.95,2522941,18955.62,15990.50,169,139.32,431.16,234,233,323.13,4154,3,3569,78.19,18.55,17.80%,178.55,9.41%,6.77,URBAN
S01006607,"Kincorth, Leggart and Nigg North",Aberdeen City,S12000033,875,616,503.73,487.08,1654115.28,2522941.31,2.00,2,2706735.00,2706735,18560.27,15990.50,189,155.81,431.16,207,200,246.06,3196,3,3424,97.39,164.55,17.22%,143.25,16.74%,5.48,URBAN
